Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup,SlopGroup
1217.879971,,,s,0.383354001,0.035977849,0.035977849,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
1296.719971,,,s,0.425794454,0.030245719,0.030245719,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
1374.84,,,s,0.361409863,0.038709094,0.038709094,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
1452.960029,,,s,0.335737614,0.036511151,0.036511151,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
1531.800029,,,s,0.382648487,0.045361178,0.045361178,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
1609.919971,,,s,0.369487712,0.041694467,0.041694467,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
1688.759971,,,s,0.320626932,0.043167176,0.043167176,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
1766.88,,,s,0.299226464,0.038370962,0.038370962,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
1845.72,,,s,0.394457302,0.044189675,0.044189675,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
1923.840029,,,s,0.329609712,0.040142086,0.040142086,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
2003.039971,,,s,0.411907785,0.038657627,0.038657627,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
2080.799971,,,s,0.347696245,0.040369752,0.040369752,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
2280.96,,,s,0.369147558,0.018557174,0.018557174,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
2599.199971,,,s,0.310455959,0.015606727,0.015606727,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
3283.2,,,s,0.286022369,0.015127986,0.015127986,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
3924.72,,,s,0.285759054,0.014864671,0.014864671,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
4566.959971,,,s,0.272144775,0.014631276,0.014631276,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
5208.120029,,,s,0.223460106,0.013179122,0.013179122,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
5849.999971,,,s,0.224284882,0.012058192,0.012058192,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
6492.240029,,,s,0.214783047,0.011172627,0.011172627,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
7134.119971,,,s,0.198975681,0.010350357,0.010350357,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
7775.280029,,,s,0.192132131,0.012493391,0.012493391,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
8417.159971,,,s,0.172663285,0.016348521,0.016348521,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
9059.04,,,s,0.156602972,0.010721546,0.010721546,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
9700.199971,,,s,0.169044093,0.010700681,0.010700681,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
10342.08,,,s,0.163983443,0.009813397,0.009813397,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
10983.96003,,,s,0.167803108,0.008582235,0.008582235,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
11626.2,,,s,0.153886315,0.008541347,0.008541347,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
12267.00003,,,s,0.142036512,0.009235924,0.009235924,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
12909.24,,,s,0.129897263,0.009781501,0.009781501,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
13551.12003,,,s,0.143615065,0.01479011,0.01479011,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
14192.28,,,s,0.162480034,0.019919274,0.019919274,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
15476.03997,,,s,0.132312233,0.015146666,0.015146666,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
16118.28003,,,s,0.120337227,0.014460624,0.014460624,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
16759.07997,,,s,0.132800589,0.011461704,0.011461704,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
17400.96,,,s,0.098627949,0.010644699,0.010644699,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
18043.19997,,,s,0.120559101,0.045466007,0.045466007,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
18684,,,s,0.127291675,0.01560535,0.01560535,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
21251.16,,,s,0.094102248,0.008121742,0.008121742,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
2805.120029,,,s,0.267670186,0.01901358,0.01901358,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset,slop
3453.84,,,s,0.290001337,0.019106954,0.019106954,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset,slop
4096.079971,,,s,0.223254386,0.017191395,0.017191395,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset,slop
4737.96,,,s,0.218574755,0.018127552,0.018127552,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset,slop
5379.119971,,,s,0.221411411,0.017049479,0.017049479,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset,slop
6021,,,s,0.189147236,0.012462106,0.012462106,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset,slop
6662.880029,,,s,0.1900203,0.013984905,0.013984905,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset,slop
7304.04,,,s,0.162031704,0.010675579,0.010675579,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset,slop
7945.920029,,,s,0.148593564,0.013945535,0.013945535,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset,slop
8588.16,,,s,0.13652117,0.01462221,0.01462221,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset,slop
9230.040029,,,s,0.127291675,0.013947292,0.013947292,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset,slop
9870.839971,,,s,0.132556186,0.011774803,0.011774803,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset,slop
10513.08003,,,s,0.154739076,0.007778786,0.007778786,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset,slop
11154.95997,,,s,0.140863995,0.008185664,0.008185664,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset,slop
11796.12003,,,s,0.131704314,0.00810957,0.00810957,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset,slop
12437.99997,,,s,0.099448904,0.011465654,0.011465654,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset,slop
13079.88,,,s,0.132556186,0.010094566,0.010094566,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset,slop
13722.11997,,,s,0.134400226,0.021055844,0.021055844,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset,slop
15647.04,,,s,0.103944138,0.01644576,0.01644576,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset,slop
16287.84003,,,s,0.09479818,0.010619909,0.010619909,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset,slop
16930.08,,,s,0.114498553,0.01245161,0.01245161,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset,slop
17571.96003,,,s,0.081357951,0.010563372,0.010563372,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset,slop
20139.12003,,,s,0.09103324,0.008543488,0.008543488,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset,slop
20779.91997,,,s,0.056545754,0.011046948,0.011046948,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset,slop
21422.16003,,,s,0.07848741,0.008406457,0.008406457,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset,slop
89351.27997,,,s,0.01650441,0.000887324,0.000887324,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset,slop
91463.04,,,s,0.014804713,0.000847459,0.000847459,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset,slop
93696.84003,,,s,0.014641986,0.000812693,0.000812693,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset,slop
182547.36,,,s,0.006103796,0.000537068,0.000537068,mJy,Spectral Flux,6.86E+14,,,Hz,B,B_offset,slop
88692.47997,,,s,0.020511622,0.001102763,0.001102763,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset,slop
90821.15997,,,s,0.017782794,0.001002483,0.001002483,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset,slop
92996.27997,,,s,0.018450154,0.001008005,0.001008005,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset,slop
181901.88,,,s,0.008053784,0.000735656,0.000735656,mJy,Spectral Flux,5.47E+14,,,Hz,V,V_offset,slop
3115.439971,,,s,0.316227766,0.002899194,0.002899194,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
5671.08,,,s,0.239441817,0.002195216,0.002195216,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
7214.4,,,s,0.209893988,0.00192432,0.00192432,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
7892.279971,,,s,0.197696964,0.001812497,0.001812497,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
88074,,,s,0.020118704,0.001081639,0.001081639,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
90483.11997,,,s,0.021028098,0.00113053,0.00113053,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
92647.8,,,s,0.018331584,0.000985558,0.000985558,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
182139.12,,,s,0.010864256,0.000955937,0.000955937,mJy,Spectral Flux,4.35E+14,,,Hz,R,R_offset,slop
1119.599971,,,s,0.301995172,0.005238836,0.005238836,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,slop
1818.000029,,,s,0.28002706,0.00536416,0.00536416,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,slop
2509.200029,,,s,0.260855501,0.004761149,0.004761149,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,slop
3214.799971,,,s,0.248198984,0.004754466,0.004754466,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,slop
3920.4,,,s,0.222638363,0.00426483,0.00426483,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,slop
4860,,,s,0.201557981,0.003314005,0.003314005,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,slop
5929.2,,,s,0.177337262,0.002755047,0.002755047,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,slop
7005.599971,,,s,0.163079736,0.002533547,0.002533547,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,slop
8060.400029,,,s,0.15093849,0.002618393,0.002618393,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,slop
9136.8,,,s,0.137151323,0.002255034,0.002255034,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,slop
10202.39997,,,s,0.125892541,0.002069918,0.002069918,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,slop
11282.39997,,,s,0.115877736,0.001905255,0.001905255,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,slop
12531.60003,,,s,0.108842874,0.002084979,0.002084979,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,slop
13604.39997,,,s,0.101859139,0.0019512,0.0019512,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,slop
14684.39997,,,s,0.0934975,0.001706522,0.001706522,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,slop
15750.00003,,,s,0.086696188,0.001503955,0.001503955,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,slop
16815.6,,,s,0.084255838,0.001613993,0.001613993,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,slop
17884.8,,,s,0.080760686,0.001474049,0.001474049,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,slop
18957.60003,,,s,0.077911219,0.001703318,0.001703318,mJy,Spectral Flux,6.29E+14,,,Hz,g,g_offset,slop
1353.600029,,,s,0.40513522,0.00702805,0.00702805,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,slop
2048.399971,,,s,0.380189396,0.006251053,0.006251053,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,slop
2746.800029,,,s,0.360080829,0.006246472,0.006246472,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,slop
3448.800029,,,s,0.323891835,0.005911692,0.005911692,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,slop
4150.800029,,,s,0.301717152,0.005779653,0.005779653,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,slop
5090.400029,,,s,0.278740452,0.00433041,0.00433041,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,slop
6166.8,,,s,0.242549286,0.003987982,0.003987982,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,slop
7239.600029,,,s,0.224078403,0.003684284,0.003684284,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,slop
8301.599971,,,s,0.20398583,0.003538627,0.003538627,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,slop
9363.6,,,s,0.189495979,0.003458691,0.003458691,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,slop
10436.40003,,,s,0.178648757,0.003099095,0.003099095,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,slop
11516.40003,,,s,0.168732989,0.003384588,0.003384588,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,slop
12769.20003,,,s,0.154170045,0.002674452,0.002674452,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,slop
13841.99997,,,s,0.145211162,0.002650402,0.002650402,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,slop
14918.40003,,,s,0.13652117,0.002615181,0.002615181,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,slop
15980.39997,,,s,0.126706822,0.002655899,0.002655899,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,slop
17042.4,,,s,0.122011285,0.002667447,0.002667447,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,slop
18115.20003,,,s,0.108043837,0.00255658,0.00255658,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,slop
19195.20003,,,s,0.109446027,0.002491296,0.002491296,mJy,Spectral Flux,4.81E+14,,,Hz,r,r_offset,slop
1580.400029,,,s,0.490681857,0.011169283,0.011169283,mJy,Spectral Flux,3.94E+14,,,Hz,i,i_offset,slop
2282.400029,,,s,0.436113971,0.009141377,0.009141377,mJy,Spectral Flux,3.94E+14,,,Hz,i,i_offset,slop
2977.199971,,,s,0.420339303,0.009568091,0.009568091,mJy,Spectral Flux,3.94E+14,,,Hz,i,i_offset,slop
3682.8,,,s,0.355467582,0.008730732,0.008730732,mJy,Spectral Flux,3.94E+14,,,Hz,i,i_offset,slop
4377.600029,,,s,0.345143739,0.008787104,0.008787104,mJy,Spectral Flux,3.94E+14,,,Hz,i,i_offset,slop
5324.4,,,s,0.311314967,0.005963507,0.005963507,mJy,Spectral Flux,3.94E+14,,,Hz,i,i_offset,slop
6400.799971,,,s,0.2789973,0.005344434,0.005344434,mJy,Spectral Flux,3.94E+14,,,Hz,i,i_offset,slop
7466.400029,,,s,0.258702127,0.005422651,0.005422651,mJy,Spectral Flux,3.94E+14,,,Hz,i,i_offset,slop
8535.600029,,,s,0.23702819,0.00518198,0.00518198,mJy,Spectral Flux,3.94E+14,,,Hz,i,i_offset,slop
9586.799971,,,s,0.226777519,0.00475348,0.00475348,mJy,Spectral Flux,3.94E+14,,,Hz,i,i_offset,slop
10674.00003,,,s,0.202488331,0.004973368,0.004973368,mJy,Spectral Flux,3.94E+14,,,Hz,i,i_offset,slop
11746.79997,,,s,0.191955252,0.004887038,0.004887038,mJy,Spectral Flux,3.94E+14,,,Hz,i,i_offset,slop
12996.00003,,,s,0.182473583,0.003989291,0.003989291,mJy,Spectral Flux,3.94E+14,,,Hz,i,i_offset,slop
14068.79997,,,s,0.162779609,0.003851762,0.003851762,mJy,Spectral Flux,3.94E+14,,,Hz,i,i_offset,slop
15148.79997,,,s,0.15191477,0.003594673,0.003594673,mJy,Spectral Flux,3.94E+14,,,Hz,i,i_offset,slop
16214.40003,,,s,0.159074292,0.00419263,0.00419263,mJy,Spectral Flux,3.94E+14,,,Hz,i,i_offset,slop
17272.80003,,,s,0.142955214,0.003639534,0.003639534,mJy,Spectral Flux,3.94E+14,,,Hz,i,i_offset,slop
18349.2,,,s,0.138165623,0.003641553,0.003641553,mJy,Spectral Flux,3.94E+14,,,Hz,i,i_offset,slop
19425.59997,,,s,0.127526371,0.003931627,0.003931627,mJy,Spectral Flux,3.94E+14,,,Hz,i,i_offset,slop
5633.999971,,,s,0.377746109,0.01029463,0.01029463,mJy,Spectral Flux,3.29E+14,,,Hz,z,z_offset,slop
6706.8,,,s,0.334502987,0.008516198,0.008516198,mJy,Spectral Flux,3.29E+14,,,Hz,z,z_offset,slop
7765.2,,,s,0.34040819,0.008971945,0.008971945,mJy,Spectral Flux,3.29E+14,,,Hz,z,z_offset,slop
8841.599971,,,s,0.284970563,0.008021436,0.008021436,mJy,Spectral Flux,3.29E+14,,,Hz,z,z_offset,slop
9896.400029,,,s,0.261095869,0.007816392,0.007816392,mJy,Spectral Flux,3.29E+14,,,Hz,z,z_offset,slop
10979.99997,,,s,0.242772785,0.007484665,0.007484665,mJy,Spectral Flux,3.29E+14,,,Hz,z,z_offset,slop
12052.8,,,s,0.235721936,0.008316941,0.008316941,mJy,Spectral Flux,3.29E+14,,,Hz,z,z_offset,slop
13301.99997,,,s,0.217370198,0.008825093,0.008825093,mJy,Spectral Flux,3.29E+14,,,Hz,z,z_offset,slop
14381.99997,,,s,0.181970086,0.006904815,0.006904815,mJy,Spectral Flux,3.29E+14,,,Hz,z,z_offset,slop
15458.40003,,,s,0.18416199,0.006661319,0.006661319,mJy,Spectral Flux,3.29E+14,,,Hz,z,z_offset,slop
16513.2,,,s,0.15024499,0.005967028,0.005967028,mJy,Spectral Flux,3.29E+14,,,Hz,z,z_offset,slop
17578.79997,,,s,0.165044099,0.005969806,0.005969806,mJy,Spectral Flux,3.29E+14,,,Hz,z,z_offset,slop
18655.20003,,,s,0.149692486,0.006209634,0.006209634,mJy,Spectral Flux,3.29E+14,,,Hz,z,z_offset,slop
19738.79997,,,s,0.148730487,0.005906879,0.005906879,mJy,Spectral Flux,3.29E+14,,,Hz,z,z_offset,slop
70253.63997,,,s,0.057279603,0.001561028,0.001561028,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset,slop
70804.8,,,s,0.053210826,0.001354708,0.001354708,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset,slop
71077.67997,,,s,0.054852951,0.001248606,0.001248606,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset,slop
71357.76,,,s,0.054250032,0.001381166,0.001381166,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset,slop
71921.15997,,,s,0.053259857,0.001308129,0.001308129,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset,slop
72194.04003,,,s,0.052384162,0.001286621,0.001286621,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset,slop
72743.76003,,,s,0.052384162,0.00138066,0.00138066,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset,slop
73020.24003,,,s,0.053456436,0.001408921,0.001408921,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset,slop
73299.23997,,,s,0.054000776,0.00127779,0.00127779,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset,slop
73847.87997,,,s,0.050862769,0.001157778,0.001157778,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset,slop
74126.88,,,s,0.050072584,0.001139791,0.001139791,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset,slop
74672.99997,,,s,0.046816614,0.001233919,0.001233919,mJy,Spectral Flux,2.43E+14,,,Hz,J,J_offset,slop
74883.59997,,,s,0.086059734,0.002268227,0.002268227,mJy,Spectral Flux,1.36E+14,,,Hz,K,K_offset,slop
75089.52003,,,s,0.085270734,0.002017713,0.002017713,mJy,Spectral Flux,1.36E+14,,,Hz,K,K_offset,slop
75288.96,,,s,0.083176377,0.002042917,0.002042917,mJy,Spectral Flux,1.36E+14,,,Hz,K,K_offset,slop
75494.52003,,,s,0.086139035,0.002193036,0.002193036,mJy,Spectral Flux,1.36E+14,,,Hz,K,K_offset,slop
75694.32003,,,s,0.082035154,0.001941151,0.001941151,mJy,Spectral Flux,1.36E+14,,,Hz,K,K_offset,slop
75889.44,,,s,0.082035154,0.001867348,0.001867348,mJy,Spectral Flux,1.36E+14,,,Hz,K,K_offset,slop
76096.08003,,,s,0.082641844,0.00180674,0.00180674,mJy,Spectral Flux,1.36E+14,,,Hz,K,K_offset,slop
76296.23997,,,s,0.081507956,0.001928677,0.001928677,mJy,Spectral Flux,1.36E+14,,,Hz,K,K_offset,slop
76496.03997,,,s,0.08090959,0.001841727,0.001841727,mJy,Spectral Flux,1.36E+14,,,Hz,K,K_offset,slop
76696.56003,,,s,0.079579279,0.001739786,0.001739786,mJy,Spectral Flux,1.36E+14,,,Hz,K,K_offset,slop
76901.03997,,,s,0.08480081,0.00185394,0.00185394,mJy,Spectral Flux,1.36E+14,,,Hz,K,K_offset,slop
77100.83997,,,s,0.079799469,0.00188825,0.00188825,mJy,Spectral Flux,1.36E+14,,,Hz,K,K_offset,slop
77302.79997,,,s,0.082413812,0.002024187,0.002024187,mJy,Spectral Flux,1.36E+14,,,Hz,K,K_offset,slop
77509.44,,,s,0.081583062,0.001857057,0.001857057,mJy,Spectral Flux,1.36E+14,,,Hz,K,K_offset,slop
78114.95997,,,s,0.078995072,0.001727014,0.001727014,mJy,Spectral Flux,1.36E+14,,,Hz,K,K_offset,slop
78314.75997,,,s,0.081658237,0.001785237,0.001785237,mJy,Spectral Flux,1.36E+14,,,Hz,K,K_offset,slop
78519.60003,,,s,0.081058768,0.001699071,0.001699071,mJy,Spectral Flux,1.36E+14,,,Hz,K,K_offset,slop
78718.32003,,,s,0.077410523,0.001762079,0.001762079,mJy,Spectral Flux,1.36E+14,,,Hz,K,K_offset,slop
421.141,,,s,1.23E-10,2.76E-11,2.76E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
451.446,,,s,1.40E-10,3.06E-11,3.06E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
481.158,,,s,1.07E-10,2.41E-11,2.41E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
519.173,,,s,9.18E-11,2.02E-11,2.02E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
576.062,,,s,7.05E-11,1.47E-11,1.47E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
622.956,,,s,9.13E-11,1.95E-11,1.95E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
661.436,,,s,1.30E-10,2.74E-11,2.74E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
711.035,,,s,5.66E-11,1.28E-11,1.28E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
771.623,,,s,8.20E-11,1.85E-11,1.85E-11,erg cm-2 s-1,Integrated Flux,,7.25E+16,2.42E+18,Hz,xray,,slop
